0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
-1381,-1381
-652,-652
0,0
652,652
1381,1381
2355,2355
4095,4095
2355,2355
1381,1381
652,652
0,0
-652,-652
-1381,-1381
-2355,-2355
-4095,-4095
-2355,-2355
